,title,image_id,medium_display,style_title,artwork_type,category_title,artist_title
42,"Cancellation sheet, fragments of ten woodblocks from Intimacies",629b0026-a66a-aeaa-5c63-e86d2dadc1af,Woodcut (ten separate blocks) in black on cream wove paper,,Print,,Félix Edouard Vallotton
43,Table at a Café,e33dae2e-dd61-2416-6671-0a695ae8a07b,Oil on canvas,Cubism,Painting,,Juan Gris
44,End of the Season,be60b5d5-60e9-9a24-3593-e9382833e540,Oil on canvas,,Painting,,Jack Butler Yeats
45,Heart of Darkness,7bc2549a-7c93-cffd-49ad-f93df587102c,"Oil on canvas, three joined panels",,Painting,,Sean Scully
46,Woodman (Waldarbeiter),08c08840-0299-48a8-d572-6cea637e531e,Charcoal and synthetic resin on linen,20th Century,Painting,,Georg Baselitz
47,"Anti-Slavery Picnic at Weymouth Landing, Massachusetts",3ca02af0-d704-1443-f902-6dfa684b8f76,"Watercolor and opaque watercolor, with pen and black ink, graphite, and collage of painted and metallic papers, on tan wove paper",,Drawing and Watercolor,,Susan Torrey Merritt
48,Cocktail Shaker,d79d875e-4094-8127-a2a9-487d1b08f389,Silver,Modernism,Decorative Arts,,Peer Smed
49,Pair of Candelabra,d804347a-eada-d3df-96b7-2b528727fe9f,Silver,Arts and Crafts Movement,Decorative Arts,,Kalo Shop (Firm)
50,Café Singer,a867af78-9a29-c75b-33ab-2f21a2d92b3f,Oil on canvas,Impressionism,Painting,,Hilaire Germain Edgar Degas
51,The Railway Crossing (Sketch),d0ff476b-fad1-2594-e18b-5bc7e0bb57a6,Oil on canvas,Modernism,Painting,,Fernand Léger
52,City Landscape,f7f9615d-2c2b-6b23-47b2-cd6cdc846504,Oil on linen,Abstract Expressionism,Painting,,Joan Mitchell
53,Édouard Manet,dd4f9115-150c-2f1a-0f37-50899553d6b4,Oil on canvas,Impressionism,Painting,,Henri Fantin-Latour
54,Banana Plant,9b753516-66d4-3762-ce22-a0c28c4ba2b0,Gelatin silver print,,Photograph,,Imogen Cunningham
55,Perilous Night,609e7646-5095-8545-85ec-9209f534740b,Higgins ink on frosted mylar,,Drawing and Watercolor,,Jasper Johns
56,Two Callas,b4ada476-9b15-44ea-7843-3dba1bfd42a9,Gelatin silver print,,Photograph,,Imogen Cunningham
57,Billbergia,211897d3-c1eb-67d1-0e13-b94c300681d4,Gelatin silver print,,Photograph,,Imogen Cunningham
58,"The Red Room, Etretat",e4df4d4a-4cfb-5be8-3728-0d0bf1b44751,Oil on artist's board,Post-Impressionism,Painting,,Félix Edouard Vallotton
59,Wherefore Now Ariseth the Illusion of a Third Dimension,a2c1636a-6d3a-f3d6-71fa-740e55e48653,Oil on canvas,Modernism,Painting,,Ivan Albright
60,Beggar with a Duffle Coat (Philosopher),1a087ef7-8455-e5d0-0b2b-9738cd33058c,Oil on canvas,Realism,Painting,,Édouard Manet
61,"Candelabrum entitled ""Morning""",503e91e1-f6b6-72b3-0936-0bbab3b64736,Silver,,Decorative Arts,,Edwin E. Codman
62,Target,be2d2883-7181-b847-3b93-29de9595c959,Lithograph from one stone in black on ivory wove paper,,Print,,Jasper Johns
63,Coat Hanger I,44927db8-c6d6-92e5-c2cb-d824011059f3,Lithograph from one stone in black on ivory wove paper,,Print,,Jasper Johns
64,"The Shelton with Sunspots, N.Y.",d88cc72a-6ab1-b9c8-ad37-a6d25ce9efd0,Oil on canvas,Modernism,Painting,,Georgia O'Keeffe
65,Bonbonnière,cbb422f4-409a-73a9-b0a6-6ece1107704d,Silver and cloisonné enamel,Modernism,Decorative Arts,,Margret Craver
66,Beggar with Crutch,a82a0390-7a0e-b24a-b15a-1131c36fc434,Pen and brown ink and colored crayons on tan wove paper,Cubism,Drawing and Watercolor,,Pablo Picasso
67,Fragment (From a Curtain),64d9e4b9-ea3d-a67a-a67e-6c62e8b2158b,Linen and wool plain weave with supplementary brocading wefts,Modernism,Textile,,Marianne Richter
68,Composite Field Armor,,"Steel, brass, and leather",,Armor,,
69,Venetian Glass Workers,1e719328-278b-29cc-e750-149c1d003b41,Oil on canvas,Impressionism,Painting,,John Singer Sargent
70,Sporting or Target Crossbow for a Youth,b7955f86-aeab-191f-4c57-849d2fcb4814,"Steel, fruitwood, staghorn, and cord",,Arms,,
71,Wheellock Rifle,85a2b13e-b191-61da-2069-034bf81fb776,"Iron, silver, fruitwood, staghorn, and mother-of-pearl",,Arms,,
72,Gauntlet for the Right Hand,d0e81a6a-05d9-f09c-a395-94b9a473b268,Steel,,Armor,,
73,"The Cogent Reason, plate four from Intimacies",244c91d0-881f-416b-a281-004615e77d63,Woodcut in black on cream wove paper,,Print,,Félix Edouard Vallotton
74,Corpse and Mirror II,0b884b37-acec-7c15-5077-927bb991f69e,"Oil and sand on four joined canvases, with artist's painted frame",,Painting,,Jasper Johns
75,Mace,06703c90-1f46-a96f-d0a2-85d51856727a,Iron and gilding,,Arms,,
76,Three Angels,465d971b-b1e5-c894-8858-31f1e62536aa,"Linen, wool, gilt-metal-strip-wrapped cotton, silk, cotton, metal-foil-laminated in cellulose acetate film-wrapped rayon, and rayon-and-nylon, tapestry weave",20th Century,Textile,,Lenore Tawney
77,Woman Bathing Her Feet in a Brook,5ccaee46-a1a0-5035-821c-0547aa35c070,Oil on canvas,Post-Impressionism,Painting,,Camille Pissarro
78,The Freedman,44506581-ba5e-57bf-713d-8dd3b3b80310,Bronze,Realism,Sculpture,,John Quincy Adams Ward
79,St. Louis,c671a09b-851d-207a-11c6-9d38739a202d,Gelatin silver print,,Photograph,,Robert Frank
80,The White Race,230e8e8e-7726-b793-2a4a-05223efb221a,Oil on canvas,Surrealism,Painting,,René Magritte
81,Fruit Piece,998674f9-207f-6b56-8ece-79a6a5039a2a,Oil on canvas,,Painting,,Hannah Brown Skeele
82,Mills Hall,69c12ddc-3034-0ce2-ce1f-4535f8719ce7,"Etching, from a steel-faced brass plate, on ivory Japanese paper",,Print,,Roy Partridge
83,A Mansion at Prairie Avenue,c8927012-69bc-abf7-6abc-7a5bbb69dc0c,Oil on plywood,,Painting,,Irene Clark
84,The Captive Slave (Ira Aldridge),5c3cbb0f-03e6-7d46-60b6-f612ed71b5d3,Oil on canvas,,Painting,,John Philip Simpson
85,Equestrian and Four Figures,3afb386b-1dfd-2264-8646-6d5cbb6f6b38,Terracotta,bankoni,Sculpture,,Bankoni
86,Head Ornament,376a9864-6f57-34dd-d04f-3d6ee66fbf44,"Nylon and polypropylene hair, amber, coral, shell, silver, carnelian, and glass beads",tekna,Costume and Accessories,,Tekna
87,Anklets,040bd294-5c70-8245-22c6-46781b932f22,Silver and copper alloy,tekna,Costume and Accessories,,Tekna
88,Prayer-String Necklace,459295bf-0ef1-14a3-6de1-e40da8227777,"Wood, silver, copper, amber, silk, and carnelian",tekna,Costume and Accessories,,Tekna
89,Figure 4,2c5b6afb-7ee8-e396-93b1-4cb4b63adec8,Encaustic and newspaper on canvas,,Painting,,Jasper Johns
90,Thanksgiving,297c4356-3905-3921-48be-ef080b8315cd,"Watercolor, gouache, and pen and brown and black inks, over graphite, with cut and pasted typewritten text elements, on three sheets of cream wove paper",,Drawing and Watercolor,,Waldo Peirce
91,Night (Noc),37188e34-da29-79ee-52a0-41c991b204ce,Oil on metal and hardboard,Surrealism,Painting,,Erna Rosenstein
92,"Saint Benedict, initial ‘O’, with border fragments from a Missal",31b756c5-5843-7a4e-dd4d-360bcfc547b4,"Opaque watercolor, gold leaf with punching, mordant gilding with touches of ruled graphite on pieced parchment",medieval,Drawing and Watercolor,,Jakob Elsner
93,"Untitled, from Portfolio from the School of the Art Institute of Chicago",6d99b5ec-3e16-d1b1-f843-3cf46bae3cd1,"Screenprint in black, over greenish blue, on white wove paper",,Print,,Ed Paschke
94,Frankie,e9c6b89a-aa96-7031-a6e6-0dc8d86ab109,Graphite on ivory wove paper,,Drawing and Watercolor,,Ed Paschke
95,Lady II: Girl Wearing Bolero Jacket,fd26fe20-e8fd-d80a-c3e9-c07365b0db61,Graphite on ivory wove paper,,Drawing and Watercolor,,Ed Paschke
96,Lady I: Tassel Dancer,450ed264-3ba8-e271-61f5-86ff3e06e601,Graphite on ivory wove paper,,Drawing and Watercolor,,Ed Paschke
97,Peace Employee,9ab608b1-0f61-3c09-61bc-4428dfcd4a72,"Color etching and aquatint, printed twice from the same plate, on ivory wove paper",,Print,,Ed Paschke
98,The Ed Paschke Show,9f60ca9a-dd38-8e84-42b0-12ad40cee0d8,Color screenprint on cream wove paper,,Print,,Ed Paschke
99,"Untitled, from Screen Prints 1970",d55945c7-fee2-cfad-85bd-8c3cf8845eb5,Color screenprint on off-white wove paper,,Print,,Ed Paschke
100,"No Fumare, Por Favore",ed5a4c4c-b3b1-4edc-d396-f7c8453b8de8,"Vintage PHS Cologram, with light box",,Photograph,,Ed Paschke
101,Tudor,90520a80-03e1-2262-7278-063132907e89,Color lithograph on white wove paper,,Print,,Ed Paschke
102,Hubert,aed06014-6574-e44c-7335-1b88084dd5d5,Color lithograph on white wove paper,,Print,,Ed Paschke
103,NO,6c89d9fa-fcbe-3f71-f5e0-a0d73772103c,"Etching and aquatint, with colored pencil additions, on ivory wove paper",,Print,,Ed Paschke
104,Hot Fax,9d1e8a40-d5d7-c4e9-4bc5-d4dea8ab31e3,Oil on linen,,Painting,,Ed Paschke
105,Poderosa,9b9d9b66-89a1-02ad-9a5d-dfcc741197bc,Color lithograph on white wove paper,,Print,,Ed Paschke
106,Lucky Cop,d60c545b-d10c-ffeb-9638-73ced6b5d088,"Black fiber-tipped pen and colored pencils, with pen and black ink and touches of graphite, on off-white wove paper",,Drawing and Watercolor,,Ed Paschke
107,B.T. Green,3fd88c70-077c-cdf6-7517-bdf57c8c1ef4,"Pen and black ink, black fiber-tipped pen, and colored pencils, with touches of graphite, on off-white wove paper",,Drawing and Watercolor,,Ed Paschke
108,B.T. Yellow,11d8369d-7619-de57-b721-7de82af6a2fd,"Black fiber-tipped pen, pen and black ink, and colored pencils, with touches of graphite, on off-white wove paper",,Drawing and Watercolor,,Ed Paschke
109,Untitled (Pareja),f93ec3b7-daa5-dd44-a7b0-feb690326238,"Pen and black ink, black and colored fiber-tipped pens, and colored pencils on off-white wove paper",,Drawing and Watercolor,,Ed Paschke
110,Caliente,72f0d7ee-878d-d9f9-4550-eb4417490e0d,Oil on canvas,,Painting,,Ed Paschke
111,Kontato,be85aecc-d0dc-9325-4893-3128bc559668,Color lithograph on white wove paper,,Print,,Ed Paschke
112,"Oriental Theatre, Milwaukee, Wisconsin",acebe62e-e7d2-b1bf-49bc-dc0324b16dde,Chromogenic print,,Photograph,,Don A. DuBroff
113,"Oriental Theatre, Milwaukee, Wisconsin",acebe62e-e7d2-b1bf-49bc-dc0324b16dde,Chromogenic print,,Photograph,,Don A. DuBroff
114,"Our Lady of Sorrows Basilica, Chicago",99837c39-af9d-a080-63c0-b34268f41674,Chromogenic print,,Photograph,,Don A. DuBroff
115,"Our Lady of Sorrows Basilica, Chicago",99837c39-af9d-a080-63c0-b34268f41674,Chromogenic print,,Photograph,,Don A. DuBroff
116,"Notre Dame Church, Chicago",99ceb6af-1f61-9911-9bda-8d8ac1ac3db4,Chromogenic print,,Photograph,,Don A. DuBroff
117,"Notre Dame Church, Chicago",99ceb6af-1f61-9911-9bda-8d8ac1ac3db4,Chromogenic print,,Photograph,,Don A. DuBroff
118,"St. Nicolas Ukrainian Cathedral, Chicago",11834aed-2bf6-dc5c-4481-3436a1a2c0d4,Chromogenic print,,Photograph,,Don A. DuBroff
119,"St. Nicolas Ukrainian Cathedral, Chicago",5d647f14-1c0d-2469-5241-c926d380baf8,Chromogenic print,,Photograph,,Don A. DuBroff
120,Execo,030b93d5-97bc-9a3e-2da7-665021005a0f,Color lithograph on white wove paper,,Print,,Ed Paschke
121,Bistro,02a1976b-bca0-79a0-95a7-7d4d497b5d99,Color lithograph on gray wove paper,21st Century,Print,,Ed Paschke
122,Minnie,b4adaaf1-81ec-755d-a5df-15c85b63a86c,Oil on linen,chicago imagist,Painting,,Ed Paschke
123,Rosarita,df76b990-ab5d-f617-9125-928a7390506d,Hand-colored lithograph on white wove paper,,Print,,Ed Paschke
124,Charlene,65d0798b-4fc7-ca22-6cd5-aae5e1a50be1,"Colored pencil, with blue and black ballpoint pen over graphite, on cream wove paper",,Drawing and Watercolor,,Ed Paschke
125,Tropicale,32b8e823-7cab-4004-a559-48f6e4412fbb,Graphite on white wove paper,,Drawing and Watercolor,,Ed Paschke
126,Mid American,3c8a4360-27d8-bba2-a434-8b04dbe3f829,Oil on canvas,,Painting,,Ed Paschke
127,Open Karate,76ca2ad4-f89c-32ae-42ec-92cf4e66f943,Color screenprint on buff wove paper,,Print,,Ed Paschke
128,Ben Hur,2c119e29-ee1b-a4a9-93ec-529d117c3828,Color screenprint on coated white wove paper,,Print,,Ed Paschke
129,Gideon,5a4173d5-6c56-d083-758c-7ccd8225687f,Lithograph in black on greenish ivory wove paper,,Print,,Charles White
130,Sound of Silence,c6c52d16-1b0e-f182-f40c-55861eeb65f6,Color lithograph on white wove paper,,Print,,Charles White
131,Sound of Silence,56640cbb-dbf5-28a3-ed58-52a7e6401aaa,Color lithograph on white wove paper,,Print,,Charles White
132,Sound of Silence,4e8c4417-0b37-bc3e-7be6-fe9c21a92ab5,Color lithograph on white wove paper,,Print,,Charles White
133,Sound of Silence,389d0f17-15ef-1edc-17e7-b13872139d27,Color lithograph on white wove paper,,Print,,Charles White
134,Sound of Silence,7d728cff-3f0e-9f64-deac-01c365b3ce7d,Color lithograph on gray wove paper,,Print,,Charles White
135,Sound of Silence,c4fdebca-66d6-e271-7754-a8c5f3562ce6,Color lithograph on white wove paper,,Print,,Charles White
136,Sound of Silence,db517198-c3c5-48ee-5e06-3162b024f3f3,Graphite on tan wove paper,,Drawing and Watercolor,,Charles White
137,Untitled (Head of a Woman III),b4e6c96d-16b0-b45e-37e2-b5f05c3b72ae,Etching in brown on white wove paper,,Print,,Charles White
138,Untitled (Head of a Man in Profile),b266c387-7dfa-775f-7980-aa589f4f4ed5,Etching in brown on white wove paper,,Print,,Charles White
139,Untitled (Bearded Man),954acfc9-0bb5-4003-a61c-054dbdf72ced,Linocut in black on cream wove paper,,Print,,Charles White
140,Untitled (Man with Pointing Finger),499e2545-b191-317d-48e6-f5287e52a850,Linocut in black on cream Japanese paper,,Print,,Charles White
141,I Had a Dream,d6758369-f935-c315-89b7-1f7dc03a4401,Lithograph in black on tan wove paper,,Print,,Charles White
142,Sound of Silence,a862a8bd-cd2a-31b8-a7ff-60a2f582c881,Color lithograph on white wove paper,,Print,,Charles White
143,Sound of Silence,c5416616-ed66-16ac-62b2-9d8c970d4b0b,Lithograph in warm and cool black on tan wove paper,,Print,,Charles White
144,Sound of Silence,001671b8-a620-67c2-8da6-df2ab185a037,Lithograph in black on tan wove paper,,Print,,Charles White
145,Sound of Silence,4aba835a-dcba-2a26-2040-f79f4d706b6a,Lithograph in black on tan wove paper,,Print,,Charles White
146,Sound of Silence,3708f42e-2131-6419-e0e3-b025746192ee,Color lithograph on gray wove paper,,Print,,Charles White
147,Sound of Silence,b6aa283c-9450-19ff-994c-adbee0fb615e,Color lithograph on white wove paper,,Print,,Charles White
148,Sound of Silence,96acdce4-5b95-b012-3ff7-8ec6b40fbd8d,Color lithograph on gray wove paper,,Print,,Charles White
149,Sound of Silence,bb3f962a-9a08-596c-3bc7-fd76bf8e3a0f,Color lithograph on gray wove paper,,Print,,Charles White
150,Sound of Silence,b493a1d9-8c24-375d-54ee-f31bc17ba916,Lithograph in warm black on gray wove paper,,Print,,Charles White
151,Sound of Silence,7d185ec5-6e82-9862-d0cf-5aaf879a2644,Lithograph in black on white wove paper,,Print,,Charles White
152,Sound of Silence,2d9983ee-7239-39aa-a1be-ebc18e6460a9,Lithograph in black on gray wove paper,,Print,,Charles White
153,Missouri C,091f0869-b66b-7456-4add-8e6273f76b1e,Etching in black on cream wove paper,,Print,,Charles White
154,Cat's Cradle,920205b8-d41a-d333-d214-4663f6416203,Etching in black on cream wove paper,,Print,,Charles White
155,Gideon,9f061aea-ca9e-4808-a07a-389420a5e8ec,Lithograph in black on ivory wove paper,,Print,,Charles White
156,Frederick Douglass,0e0bd8aa-79f3-bbef-34ed-d83dc085d1a4,Lithograph in black on cream wove paper,,Print,,Charles White
157,We Have Been Believers,cf0793a3-3bb0-0a23-06fe-7715268e9dc3,Lithograph in black on cream wove paper,,Print,,Charles White
158,Wanted Poster Series #12a,2115c2d8-05d3-bc6f-1f06-052b689427e3,Color lithograph on white wove paper,,Print,,Charles White
159,Wanted Poster Series #12,08ebebe2-4e0f-b24f-ade1-5b7241f5a939,Lithograph in brown on white wove paper,,Print,,Charles White
160,Wanted Poster Series #11a (negative image),c33cd2bc-3fd0-bede-f9ce-09a8924c1bde,Lithograph in brown on buff wove paper,,Print,,Charles White
161,Wanted Poster Series #11 (positive image),4580bea0-e6a6-2b77-efe1-fef6b46690bd,Lithograph in brown on buff wove paper,,Print,,Charles White
162,Harvest,14d16691-3489-e6fb-572b-d888f66c4769,Lithograph in black on tan wove paper,,Print,,Charles White
163,Sound of Silence,a4e1d24f-a92d-2d15-8d4e-dfc5b8b6394b,Lithograph in warm and cool black on gray wove paper,,Print,,Charles White
164,Love Letter III,51c1485c-e687-c6f1-83e6-7c9ddafa18a5,Color lithograph cream wove paper,,Print,,Charles White
165,Love Letter II,bd63f8e5-ee46-ba44-f402-0493299b3908,Color lithograph on cream wove paper,,Print,,Charles White
166,Love Letter I,5eec827a-41b5-6911-cc19-d52b0005fb38,Color lithograph on buff wove paper,,Print,,Charles White
167,I Have a Dream,3a60e6bc-51ad-bb85-5f16-663735122e8c,Lithograph in brown on cream wove paper,,Print,,Charles White
168,Prophet I,7486d031-c176-9de5-3fa7-9d497408f72d,Color lithograph on white wove paper,,Print,,Charles White
169,Wanted Poster Series #15 or Hasty B,63ed9292-20a8-9815-d29b-17a5af3ee7ed,Lithograph in brown on cream wove paper,,Print,,Charles White
170,Wanted Poster Series #14a,713483bb-55a2-fd5a-92f2-b2b119be886f,Lithograph in yellow and brown on white wove paper,,Print,,Charles White
171,Wanted Poster Series #14,6e7a09f1-c8ab-bb50-20df-7c20facc2b87,Color lithograph on white wove paper,,Print,,Charles White
172,Solid as a Rock (My God is Rock),c6f9f676-d2f4-1ad8-290e-cd173e5f1a1e,Linocut in black ink on cream laid Japanese paper,,Print,,Charles White
173,Cabeza (or Youth),50d08f7d-964f-e7a3-346f-dec7813e9052,Lithograph in black on cream wove paper,,Print,,Charles White
174,The Worker,f316df03-44a5-007c-a39b-643537d0b3c7,Brush and pen and black and brown inks on illustration board,,Drawing and Watercolor,,Charles White
175,Sketchbook,c30126e9-55f1-3e3e-b017-15c8de78e0fc,"Charcoal, pastel, ink, graphite, pen and inks and watercolor on ivory wove paper",,Drawing and Watercolor,,Charles White
176,"This, My Brother",b29b7f71-2098-9fc7-16cf-05ff99f0afdc,Oil on canvas,Modernism,Painting,,Charles White
177,Portrait of a Woman,937b6ca0-8224-f17a-2991-3cf539b1ba8b,"Charcoal, with smudging, erasing and scratching, on tan wove paper, laid down",,Drawing and Watercolor,,Charles White
178,Harvest Talk,80fa6e5f-e02a-57b6-c007-8359e750d36d,"Charcoal, Wolff's carbon drawing pencil, and graphite, with stumping and erasing on ivory wood pulp laminate board",,Drawing and Watercolor,,Charles White
179,Mom in Wig,a8f09097-4abc-93c2-4d17-1ec5b30b8410,Chromogenic print; edition 1/5,,Photograph,,Leigh Ledare
180,"Catch 22, from the series Pretend You're Actually Alive",456fd97b-0403-06f2-965d-cb8b630b5abc,Chromogenic print,21st Century,Photograph,,Leigh Ledare
181,Come Let's Talk,3f52f29a-9d6a-33a4-8038-486eca4edc20,Printed matter,,Photograph,,Leigh Ledare
182,Brother in Providence from the series Pretend You're Actually Alive,01f92520-6df9-fc44-cadc-184da75303fc,Gelatin silver print,21st Century,Photograph,,Leigh Ledare
183,Tina and me on Bed from the series Pretend You're Actually Alive,345fe6ea-5cdd-d935-8c2c-ea44f07cdff7,"Chromogenic print, edition 4/5 plus 2 artist's prints",21st Century,Photograph,,Leigh Ledare
184,Grama and Me in Hospital from the series Pretend You're Actually Alive,d79850b8-2b75-a509-14d4-9abcf70ce7b6,"Chromogenic print, edition 2/5, plus two artist's prints",21st Century,Photograph,,Leigh Ledare
185,Mom in Seventeen Magazine from the series Pretend You're Actually Alive,afb7e14e-3653-5974-fd46-91f6f9a40414,Printed matter,20th Century,Photograph,,Leigh Ledare
186,Mother's Thoughts on Modelling from the series Prentend You're Actually Alive,7f6b7e19-fdf0-c8e5-47f6-aa19fa299222,Printed matter,21st Century,Photograph,,Leigh Ledare
187,Mom with Hand on Bed from the series Pretend You're Actually Alive,,"Chromogenic print, edition 2/5, plus 2 artist's prints",21st Century,Photograph,,Leigh Ledare
188,"Personal Commissions: “Beautiful, tall and slender 28y/o seeks well connected man. If U attend A-list gala events in NYC, are kind and bring a date lets have some fun!!! Ummmm. Ext.#4803”",01577ad4-6eea-5972-6a16-194a161ae179,Chromogenic print; edition 2/2 APs,21st Century,Photograph,,Leigh Ledare
