,title,image_id,medium_display
58,"National Terra Cotta Society Monument, Preliminary Detail Design",98033c4c-56da-76f8-ea01-8156b2f7fae0,Graphite on blue-toned paper
59,"Proposed Monument for the National Terra Cotta Society, Elevation",79ed0380-6c95-ec68-dccc-353fbd7ef7da,Graphite on paper
60,"Peoples Savings Bank, Cedar Rapids, Iowa, Main Floor Plan",bd688247-9d30-cf3f-a648-a7ac062ed607,Black and red ink on linen
61,"Peoples Savings Bank, Cedar Rapids, Iowa, Multiple Views",269d0f4e-a429-d3fe-4c5b-3d2f7e146359,Black and red ink on linen
62,"Peoples Savings Bank, Cedar Rapids, Iowa, Elevation",f6ed6345-a3e1-86cc-80bc-7748ee609d0f,Black and red ink on linen
63,"Peoples Savings Bank, Cedar Rapids, Iowa, Section",eadb4d08-5460-8a4e-dd70-fe477ae6f5bf,Black and red ink on linen
64,"Peoples Savings Bank, Cedar Rapids, Iowa: North and South Elevations",09476d0d-afc1-6288-cd50-1c8fa843a0b8,Black and red ink on linen
65,"Peoples Savings Bank, Cedar Rapids, Iowa: Roof Plan",7d034242-98dc-2b43-9cc3-16b362dc2c95,Black and red ink on linen
66,"Peoples Savings Bank, Cedar Rapids, Iowa: Ceiling Plan",34eb072c-da48-56c5-de5a-23f5623341b3,Black and red ink on linen
67,"Farmers and Merchants Union Bank, Columbus, Wisconsin, Elevation",dac58f1e-5fd3-653c-f961-7daa44626372,Graphite pencil on tracing paper mounted on board
68,"Farmers and Merchants Union Bank, Columbus, Wisconsin, Elevation and Cross Section",ca0ec55b-7a6a-e8a1-1106-c4b4c6ffe979,Graphite pencil on tracing paper mounted on board
69,"System of Architectural Ornament, Plate 20, Finis",66d9e69b-a288-ff89-d813-8ac8f27280ce,Graphite on Strathmore paper
70,"System of Architectural Ornament, Plate 19, Untitled",9b5ef16f-5a1d-51c2-59ec-620905697bba,Graphite on Strathmore paper
71,"System of Architectural Ornament, Plate 18, Untitled",15bef11f-e06a-28d2-76d0-8209261d23aa,Graphite on Strathmore paper
72,"System of Architectural Ornament, Plate 17, A Geometrical Play-Ground",c9b1f520-e2ea-d0b2-7469-65cd5054c8f4,Graphite on Strathmore paper
73,"System of Architectural Ornament, Plate 15, Values of the Multiple Leaf",9260edd0-ea2d-a941-6a9c-304f4bc80b3b,Graphite on Strathmore paper
74,"System of Architectural Ornament, Plate 14, Fantasy",840366d7-d54a-b83f-30bc-97fd017157eb,Graphite on Strathmore paper
75,"System of Architectural Ornament, Plate 13, Interpenetration",2263e740-9157-a4ab-8281-bff822acd078,Graphite on Strathmore paper
76,"System of Architectural Ornament, Plate 9, Interlude",64e88793-4997-37f6-0850-0902e2a1bacc,Graphite on Strathmore paper
77,"System of Architectural Ornament, Plate 7, The Values of Parallel Axes",5064fec2-d117-e6e2-f1a2-cebfe1507470,Graphite on Strathmore paper
78,"System of Architectural Ornament, Plate 12, Values of Overlap and Overlay",36b1033f-538f-4bd1-5245-db661503843f,Graphite on Strathmore paper
79,"System of Architectural Ornament, Plate 11, Values of Parallel Planes",1aa80a53-eed4-3bb2-2eb9-ea333636f2c3,Graphite on Strathmore paper
80,"System of Architectural Ornament, Plate 10, Fluent Parallelism",1b25d10b-c2ae-bf7f-4997-0dc7196011b9,Graphite on Strathmore paper
81,"System of Architectural Ornament, Plate 8, Parallel Axes",5298cf9c-6b83-556c-d332-bc35a33e614c,Graphite on Strathmore paper
82,"System of Architectural Ornament, Plate 6, Manipulation of Variants",794bf46a-d91d-73c6-5112-31b5e3af535c,Graphite on Strathmore paper
83,"System of Architectural Ornament, Plate 5, The Values of Axes",d9b5b44e-75e0-6a1e-c87d-0453eb7e158d,Graphite on Strathmore paper
84,"System of Architectural Ornament, Plate 4, Fluent Geometry",d56eb8ba-f39b-fb6c-556a-0e5d3d132d24,Graphite on Strathmore paper
85,"System of Architectural Ornament, Plate 3, Manipulations of Forms in Geometry",bb3a7dda-3a19-189b-e3e2-ec64dc18ebf4,Graphite on Strathmore paper
86,"System of Architectural Ornament, Plate 2, Manipulation of the Organic",3967c80e-c96b-39c4-eb12-886ab78e5bea,Graphite on Strathmore paper
87,"McVickers Theater, Chicago, Illinois, Sketch",af56fd91-21e4-e068-9a95-bd59f8566fdb,Graphite on paper
88,"McVickers Theater, Chicago, Illinois, Sketch",0d9e8440-5049-35c8-bc9e-3acdfad162b3,Graphite on paper
89,Schlesinger and Mayer Company Store: Section of a Screen from Third Floor Writing Room,4911e48d-2e05-df14-061e-3f44c910ba5e,"Five layers of mahogany, fret sawn"
90,"Proposed Monument for the National Terra Cotta Society, Plan",102edbbc-8924-27ba-b2d6-596ac23226f0,Graphite on paper
91,McVickers Theater: Sketch for Untitled Ornamental Band,7f23280b-22a6-3518-1e01-5cff99ad4e21,Graphite on paper
92,"First National Bank, Manistique, Michigan, Additions and Alterations",,Blueprint
93,"System of Architectural Ornament, Plate 16, Impromptu!",4b1c17b1-d47f-28fd-5b0e-e23cfb5b5191,Graphite on Strathmore paper
94,"Cornice section from the Gage Building, Chicago, Illinois",200caaa0-258c-1b2b-02da-25d56b6ff547,Cast iron
95,"Decorative Panel from the Eli B. Felsenthal Store, Chicago, Illinois",0cdd456e-4a21-b671-8278-ba06f1a418a0,Terra-cotta
96,"Window Pier from the Eli B. Felsenthal Store, Chicago, Illinois",ecaf20cd-4049-3228-08e5-49fea5dfb8cd,Sandstone
97,Plant Form Study,d6ffb0b9-c8f9-4718-3b47-23f1e1e89269,Pencil on paper
98,Multiple Sketches,df8d9b95-5ab1-3890-2103-26bc23764fe0,Graphite on paper
99,Landscape with Building (top) and Caricature Head Studies (bottom),c985a4e7-a816-8069-4661-da283b862d18,Brown ink on paper
100,Ceiling Design with Peacock Motif,4aa9de8d-aebf-f16e-ee53-4f0406c52e9b,Ink on paper
101,"Farmers and Merchants Union Bank, Columbus, Wisconsin, Elevation",2e9dccf8-d5fc-1e5d-d58e-201b5852fd70,Graphite pencil on tracing paper mounted on board
102,"Peoples Savings Bank, Cedar Rapids, Iowa: Basement Plan",f4c1bbff-dd26-7c51-67bf-63fadb4d51c9,Black and red ink on linen
103,"Auditorium Building, Working Drawings for Ornamental Plaster Work",80f81672-12f7-e93d-e761-d68171cdc564,Ink on paper
104,"System of Architectural Ornament, Plate 1, The Inorganic",11604ae9-02a4-5b7a-3049-cf6678f824e1,Graphite on Strathmore paper
105,"Teller's wicket from the National Farmers Bank, Owatonna, Minnesota",245d8fde-c637-8d4c-ac14-d373724b0d7c,Copper-plated cast iron
106,Chicago Stock Exchange Building: Kick Plate from Front Entrance,debb83e3-84d0-77ca-fbaf-8271b8c1e2ce,Copper-plated bronze
107,"Elevator Grille from the Chicago Stock Exchange, Chicago, Illinois",8a8d5233-306d-8884-b931-ec45f1d0334b,"Cast iron, wrought iron, and copper-plated cast iron"
108,"Elevator Grille Ornament from Schlesinger and Mayer Store, Chicago, Illinois",974010ee-1383-0ac1-7c76-4ab9c826f22a,Bronze plated cast iron
109,"Radiator Screen from the Cyrus Hall McCormick House, Chicago, Illinois",cd40cf13-7bcb-16cd-b5f9-73e5d114fd97,Cast iron with bronze plating
110,"Spandrel Panel from the Gage Building, Chicago, Illinois",a1144c39-6d31-9689-b3ee-4caf1c525055,Cast iron
111,Schiller Building (later Garrick Theater): Sections of Star-Pod Design from Proscenium Vault,e03b2df9-381d-ddc6-1492-5ef8b508874e,Painted plaster
112,Exterior Column from the Schiller Building (aka Garrick Theater),3cc8f6df-c0fb-7816-a152-12678541b891,Terra-cotta
113,Envelope and Collage,06a22df2-d656-5507-0824-ba517a30ebc7,Pen and black ink and collage
114,Portrait Collage Postcard,4ad4dd9c-d36e-7098-2958-56974b56769b,Pen and black ink and watercolor and feather collage
115,Red Circle,6d5589a7-8c0c-5f93-ec12-951fcc0a5d69,Pen and black and red inks on cream wove graph tracing paper
116,Water Birds Hanging,b6f0de14-d255-a248-44f4-47c7dab995cb,"Cotton, wool, silk, wild silk, cotton (mercerized), cellulose acetate, rayon, and linen, plain weave with discontinuous wefts; cut and knotted warp fringe"
117,Connoissance,4f6bf88b-9f9c-3d92-bc98-537c9e43f736,"Pen and black ink, over collage of letterpress in black ink on tan wove papers, torn, and color lithographs on off-white wove paper, cut, and pasted onto tan laid paper book page with letterpress, laid down on two cream wove paper book pages with letterpress in black"
118,The Poet,ef4a7d65-3ac4-37d9-e687-0e022aed1f8f,"Linen, plain weave; open work; open warp; knotted and braided fringes"
119,The Bride Has Entered,0dc663fa-99e2-f5bd-f24e-14e3404a9609,"Cotton, plain weave; painted with pigment and gold leaf; attached linen threads in grid pattern"
120,Untitled (#34),79c53a87-375c-987b-a889-0c84e0820f80,"Wooden box, covered with manuscript pages; feathers"
121,Untitled (#32),4d7215b4-d752-212b-b6ee-76d7295be7b9,"Cigar box, covered with manuscript pages; perforated and strung with linen threads; nutshells"
122,Form Infolded #117,398c669c-4d53-42e8-aec8-0c82dba7b72e,"Ink, sparrow feathers and watercolor paint on paper; mounted on linen, plain weave; over stretchers; plexiglas box"
123,Shield,de77c241-fe55-5627-f5df-05c235a831a5,"Linen, warp-faced weft-ribbed plain weave with discontinuous wefts; knotted and wrapped warp fringe; embellished with cardinal feathers; wooden rods"
124,Shield,40f4705e-fc9a-01e7-4e25-90d4d2a015f9,"Linen, warp-faced weft-ribbed plain weave; embellished with sparrow feathers; wooden rods; braided warp fringe embellished with whelk egg cases and warp fringe knotted to silk"
125,"""Assemblage""",90c4e647-1a41-2a07-f55e-b69ee332bfbf,"Ink on paper, mounted on linen, plain weave; in plexiglas box"
126,Fiber Construction,005b030f-e095-51c3-e4c2-c3d0a8b5d4b9,"Gesso, paint, and ink on cotton, plain weave; knotted linen threads"
127,Box,67f9a6df-5239-13f1-64dc-e6a06f4e18b4,Box covered with manuscript pages (ink on paper); inside: rock on plexiglas cylinder; in lid: piece of bone
128,Child's Shoe Last,1577196d-8526-f4f9-b58c-ed70f1c70d24,Wood and metal covered with torn papers with ink
129,Young Women,c8fd2b13-5727-f83a-42dc-82ccee41adc3,"Linen, wool, nylon, silk, rayon-and-metal-foil-laminated in cellulose acetate film-wrapped rayon, nylon-, wool-, and metal-strip laminated in cellulose acetate film, and cotton-and-metal film, plain weave with discontinuous wefts; main warp fringe; backed with cotton, velveteen"
130,Card,2b1429fb-7b33-7f20-79b0-32b9a3eb3f95,Perforated paper; embroidered with linen in running stitches; cut to form surface pile; regularly placed holes with fringe
131,Yellows,90cbd92b-bf52-8f66-0bd4-fd9f9b41363b,"Wool, linen, cotton, and silk, plain weave with discontinuous weft open warp areas; knotted warp fringe; feathers"
132,Waters Above the Firmament,12fdb0f7-23b2-7af8-7058-db75f976f15f,"Linen, warp-faced weft-ribbed plain weave with discontinuous wefts; 18th/19th century manuscript pages cut into strips, attached, and painted with Liquitex acrylic paint; braided, knotted, and cut warp fringe"
133,Underwater Wind,aa8a9d42-ed14-6cd9-68b1-f2f6d1bf04b2,"Linen, silk and wood, slit tapestry weave with wrapped, cut fringe; embellished with feathers; silk and linen knotted fringes"
134,Landscape,01216b35-b14e-e97b-a2fe-7b38642031db,"Silk, cotton, bast fibers (probably linen), and rayon, plain weave with discontinuous wefts and exposed warps; knotted warp fringe over wooden pole wrapped with linen, plain weave"
135,Mask with Horse Hair (Hanging),7a7e00b7-b0ad-17bb-fd4e-f247b8eccb9e,"Linen, warp-faced weft-ribbed plain weave; embellished with knotted grass fringe, stone and shell beads, and metal foil rectangles secured by knotted lengths of linen threads; suspended from knotted main warp; bottom edged with main warp cut fringe knotted with horsehair"
136,Two Forces Meeting and Opposing (Hanging),86f0b262-8b15-0dcc-da7d-c9af116631ad,"Linen, wool, silk, rayon, nylon and acetate, plain weave with supplementary brocading wefts"
137,"Ebsworth Chapel, Seattle, Washington, Perspective",db693fa2-3539-104a-c2ce-01c34d82699f,Graphite and colored pencils over black line print on Japanese paper
138,"Ebsworth Chapel, Seattle, Washington, Model",90677f1a-44c4-7ada-db8c-dc2368c75960,Foam
139,"Ebsworth Chapel, Seattle, Washington, model",b5a79d40-55f9-7643-6ff3-3a5a988cc84a,Foam
140,Farnsworth House,ce1cf3ef-ac69-1e0f-34f1-ac434ad45e8e,Brush and black ink on white Japanese paper
141,Work Data Sheet,7a4b6532-2859-5f47-85dd-4b3cafd22815,Screenpring on Nishinouchi (Japanese paper)
142,"Fabrica (Benetton Research Center), Treviso, Italy, Section and Elevation",d53d12da-a8f3-0a38-b595-dfec5c504cde,Screenprint on Nishinouchi (Japanese paper)
143,"Oyamazaki Villa Museum, Kyoto, Japan, Site Plan",,Screenprint on Nishinouchi (Japanese paper)
144,"Oyamazaki Villa Museum, Kyoto, Japan, Section and Elevation",02d1edfe-dd00-3fbc-2703-237bdaf2d2ee,Screenprint on Nishinouchi (Japanese paper)
145,"The Theater in the Rock, Oya II, Site Plan",491b52be-0a42-b5fc-c381-499d3b94af01,Screenprint on Nishinouchi (Japanese paper)
146,"The Theater in the Rock, Oya I, Section",454d7300-5d5a-8637-6cc2-b1ebf6eca041,Screenprint on Niahinouchi (Japanese paper)
147,"Chikatsu-Asuka Historical Museum, Kanan, Japan, Site Plan",6f63d7f2-393e-b4ab-0230-766902943d70,Screenprint on Nishinouchi (Japanese paper)
148,"Japan Pavilion, Seville, Spain, Exterior Perspective",c55199c6-ce19-b578-5207-d3d460938cf5,Screenprint on Nishinouchi (Japanese paper)
149,"Row House, Sumiyoshi, Japan, Plan and Interior Perspective",e5d9f346-818b-9321-bb82-5e685259d63c,Screenprint on Nishinouchi (Japanese paper)
150,Untitled,738a13e1-efec-e97e-3bf4-f3ceadd7c814,"Gelatin silver print, from the series ""Black Muslims"""
151,Untitled,062d3565-0f6d-ffda-69e9-c4441d2cd496,"Gelatin silver print, from the series ""Black Muslims"""
152,Untitled,1b2faca7-fd4f-1c73-8d41-570848b652da,"Gelatin silver print, from the series ""Black Muslims"""
153,Untitled,db3d2f07-2f4d-f0b2-ba22-f8caeb93ed55,"Gelatin silver print, from the series ""Black Muslims"""
154,Untitled,0f28eb9f-4dbb-d024-1d35-473945ff0f40,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
155,Untitled,a0f49a02-b27a-4e4b-10a6-a0331d88efde,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
156,Untitled,2b5f73ed-e74d-0057-2736-ab76f236e119,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
157,Untitled,d1cbfa32-2614-d2d0-2e27-edc277436f2b,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
158,Untitled,085faac1-fb13-f826-7b59-972e2c6467e7,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
159,Untitled,cee14e6c-e606-cc3e-5061-c167e43286fe,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
160,Untitled,7520cc63-c257-817e-9510-216595840c42,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
161,Untitled,b76b5011-ea33-c1fe-2bbb-0331dce15c14,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
162,Untitled,dfd65fa7-1d4c-d297-7601-9aa0cdaeb383,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
163,Untitled,bc5af1f9-310d-afc3-fcb4-a2687d36c545,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
164,"Fabrica (Benetton Research Center) II, Isometric Plan View",ab0826c6-efcd-ab68-e758-400db997b7e2,Screenprint on Nishinouchi (Japanese paper)
165,Untitled,d84af1cc-2b52-c0ba-c118-422fd5cb77d9,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
166,Untitled,2639a543-ee27-3f14-2161-bd1bdd95cd91,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
167,Untitled,abe6d896-b1f3-9977-2ec8-8d2ce99d5690,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
168,Untitled,537aba94-4892-677f-e5e2-2f05017c53bc,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
169,Untitled,37ea3b3a-8957-1f5e-a8e1-1301024f7ea0,"Gelatin silver print, from the series ""The Garage"" (1970/80)"
170,"Church of the Light, Ibaraki, Japan, Perspective",29e36a50-a125-24eb-bee9-94972fad9a03,Screenprint on Nishinouchi (Japanese paper)
171,"Waterfront Plaza, Kobe, Japan: Sketch",c173e80a-8635-8df5-b34b-5f938b79d91d,Pastel on parchment
172,"House in Chicago, Design Drawings",2c765d4f-55c5-8a45-b200-53778f85247f,Graphite and colored pencil on paper
173,"House in Chicago, Design Drawings",5159b8cd-60f6-7077-7e72-c7d742eadb78,"Grease pencil on rice paper, ink on paper, and photograph"
174,Chicago,33ff1dc1-4e2a-9b75-872c-71d04896a001,"Gelatin silver prints (15), montage"
175,"Albany, Georgia",b6d98df4-da49-66f8-7a28-ae1dff3ef49d,Gelatin silver print
176,"Danville, Virginia",81156f10-7281-8c71-8b3c-805ed58f5f98,Gelatin silver print
177,"Danville, Virginia",7d58352b-7b9d-101b-b6a0-e3332f657ad7,Gelatin silver print
178,"The Police at Clarksdale, Mississippi",ab935458-72c3-5998-5ce6-ced740aafe58,Gelatin silver print
179,"Cambridge, Maryland",fb2454fb-dfa1-308d-1b3e-24e06059a527,Gelatin silver print
180,"Demonstrations at an “All-White” Swimming Pool in Cairo, Illinois",64e01f48-b321-82a1-0b1e-8d761f16fcd3,Gelatin silver print
181,"The Police at Clarksdale, Mississippi",ef4ea268-987e-5e79-895e-faf00adfb2bb,Gelatin silver print
182,"Atlanta, Police Car Window",b06040b8-e192-5326-20a4-9f7f085e68d6,Gelatin silver print
183,The Road to Yazoo City,e631f773-4da1-321b-f056-13f71339020a,Gelatin silver print
184,"Segregated Drinking Fountain in the County Courthouse in Albany, Georgia",a1d302c5-d434-5308-8374-78020e6667c6,Gelatin silver print
185,"Willie Ricks was one of SNCC’s great stump speakers, capable of getting great emotional responses from a crowd. During the Meredith March in Mississippi, where King and Stokely Carmichael marched side by side, it was Ricks who first unleashed the “Black Power” cry.  Here he speaks in Atlanta",3ec34ffc-04a7-0012-18b1-7737576b4cc9,Gelatin silver print
186,The Freedom Choir in the Tabernacle Baptist Church. High school students and children helped start the Selma movement,726415df-3c45-756d-9e78-8f61542cbaf8,Gelatin silver print
187,Dr. Martin Luther King Just Before He Speaks at Birmingham,e44b3c4c-1cb8-620e-c572-ec95446056c4,Gelatin silver print
188,"Windows of Sixteenth Street Baptist Church, Where Four Fourteen-Year-Old Girls Were Killed by a KKK Bomb",ecc2664a-3925-c848-2d71-c762bac65e32,Gelatin silver print
189,John Lewis in Cairo,a55c7da1-ea0e-1caa-42b2-7b407f522fa0,Gelatin silver print
190,Four Youngsters,4f38f2c5-844e-0f30-f96a-c3cd3e512d1f,"Gelatin silver print, from the series ""Uptown, Chicago"""
191,Foyer of an Apartment,7f3c1f1a-28d8-a8e2-7157-5489755c968b,"Gelatin silver print, from the series ""Uptown, Chicago"""
192,Mother with Her Three Children,c4419e9b-a740-1eff-1820-90a9e2f4e650,"Gelatin silver print, from the series ""Uptown, Chicago"""
193,Family with a Baby,b08557d5-19d1-28fe-59a0-a32dd31b5e91,"Gelatin silver print, from the series ""Uptown, Chicago"""
194,Young Boy Outside His Apartment,3a5f9134-d07f-bc5c-e8e1-7fa62396c9e9,"Gelatin silver print, from the series ""Uptown, Chicago"""
195,Brothers and Sisters by a Delivery Truck,8da4f5b5-798e-ecd6-721b-dd6ca648f15e,"Gelatin silver print, from the series ""Uptown, Chicago"""
196,Children on Ice Cream Vendor's Box,4eb6e774-bc69-ed1d-4aac-1612925cb704,"Gelatin silver print, from the series ""Uptown, Chicago"""
197,"Mary, Santa Marta, Colombia",c5302993-718f-5969-f33e-be5501674c10,Gelatin silver print
198,"Knoxville, Tennessee",5b6f0db8-8159-a4bf-6163-62be3ca33637,Gelatin silver print
